epoch,generator_train_loss,critic_train_loss,ccr,precision,recall,sensibility,specifity,f1_score,jaccard_coef,dsc_coef,roc_auc,pr_auc,hausdorf_error
1,-0.13746001658501564,3.7887247986607737,0.8732538267623546,0.5728274578216969,0.9673074480698832,0.9673074480698832,0.8090073897224157,0.7132949813615516,0.5886073202176724,0.7080577037655219,0.8829595928591355,0.7770476287822332,4.965051480030797
2,-0.14269990503013907,1.5263320439821715,0.8254826035610465,0.45627103721889867,0.9599327470449155,0.9599327470449155,0.7626779920663788,0.6097406343750906,0.459326974962986,0.5819483952181064,0.856088917511779,0.7237574380829773,6.0130017546241055
3,-0.14698153192346747,1.4853277717317854,0.7099089866460756,0.3242970198152333,0.603601165828149,0.603601165828149,0.7645453373012591,0.37163434491613334,0.246499568314794,0.36550511764369487,0.6799113814902102,0.5368275701398108,7.329225970670727
4,-0.12485321078981672,1.287386704961975,0.6861421806867732,0.23805331943675226,0.38710992994059196,0.38710992994059196,0.7846950119479974,0.24107663793250697,0.1427812650189386,0.23243837650497157,0.5828266868891114,0.40297695625748603,7.42320047198247
5,-0.11779702096790462,1.3400346570974822,0.7111989575763081,0.22943512996524532,0.2752502484673993,0.2752502484673993,0.8360473467818499,0.20155323952479104,0.1221789160752561,0.20050741704852748,0.5532902167633371,0.34950738220303945,7.078401781122235
6,-0.09364819062220586,1.1752370700433656,0.7111041401707849,0.15884492881444648,0.15533025884757592,0.15533025884757592,0.8645002780488086,0.11783987788377305,0.06933598905486496,0.11837272418079457,0.5078089260460484,0.2630075580693571,7.02923912665035
7,-0.0782762285950896,1.0999186228622089,0.7270862668059593,0.1653075099763978,0.13995346635083739,0.13995346635083739,0.8892291200965038,0.11308111877266307,0.06667899862893203,0.11396810528260441,0.5129867332554602,0.2602247592587235,6.902150999422009
8,-0.06270813245277901,1.2057763485165385,0.7322055550508721,0.1573292285552884,0.11550457059694949,0.11550457059694949,0.9014584302441316,0.09694182687789497,0.057724231205905946,0.09857898475266608,0.5071451917345506,0.2452173651985628,6.978758581926387
9,-0.03880010119506291,1.1514358899810098,0.7350801689680233,0.12282013915386478,0.07326232761264055,0.07326232761264055,0.91752525698411,0.06078087915538369,0.029494423738248222,0.05569224741214227,0.4943332438790843,0.20953507786499947,7.234998159819646
10,-0.03070942022196658,1.1101400300666884,0.7141527752543605,0.08044164612305661,0.04434424353156288,0.04434424353156288,0.9065326178289227,0.02822727521530759,0.021979929386171944,0.03385349053610475,0.47435862323382677,0.17448339718648723,7.642956400208334
